Metryka;;;;;Złość - emocje;;;;;;Złość - GEQ;;;;;;;;;;;;;;;;;Obrzydzenie - emocje;;;;;;Obrzydzenie - GEQ;;;;;;;;;;;;;;;;;Neutralna - emocje;;;;;;Neutralna - GEQ;;;;;;;;;;;;;;;;;Strach - emocje;;;;;;Strach - GEQ;;;;;;;;;;;;;;;;;Smutek - emocje;;;;;;Smutek - GEQ;;;;;;;;;;;;;;;;
Płeć;Wiek;Ile czasu w tygodniu spędzasz grając w gry komputerowe?;Wybierz, które określenia najbardziej odpowiadają twoim ulubionym gatunkom gier:;Gdzie mieszkasz?;Radość;Złość;Smutek;Obrzydzenie;Zaskoczenie;Strach;Poczułem się ożywiony;Czułem się źle;Trudno mi było wrócić do rzeczywistości;Czułem się winny;Czułem się zwycięsko;Uważam, że to strata czasu;Poczułem się pobudzony;Czułem się usatysfakcjonowany;Poczułem się zdezorientowany;Czułem się wyczerpany;Poczułem, że mogłem zrobić więcej pożytecznych rzeczy;Czułem się potężny;Czułem się zmęczony;Poczułem żal;Było mi wstyd;Czułem się dumny;Miałem wrażenie, że wróciłem z podróży;Radość;Złość;Smutek;Obrzydzenie;Zaskoczenie;Strach;Poczułem się ożywiony;Czułem się źle;Trudno mi było wrócić do rzeczywistości;Czułem się winny;Czułem się zwycięsko;Uważam, że to strata czasu;Poczułem się pobudzony;Czułem się usatysfakcjonowany;Poczułem się zdezorientowany;Czułem się wyczerpany;Poczułem, że mogłem zrobić więcej pożytecznych rzeczy;Czułem się potężny;Czułem się zmęczony;Poczułem żal;Było mi wstyd;Czułem się dumny;Miałem wrażenie, że wróciłem z podróży;Radość;Złość;Smutek;Obrzydzenie;Zaskoczenie;Strach;Poczułem się ożywiony;Czułem się źle;Trudno mi było wrócić do rzeczywistości;Czułem się winny;Czułem się zwycięsko;Uważam, że to strata czasu;Poczułem się pobudzony;Czułem się usatysfakcjonowany;Poczułem się zdezorientowany;Czułem się wyczerpany;Poczułem, że mogłem zrobić więcej pożytecznych rzeczy;Czułem się potężny;Czułem się zmęczony;Poczułem żal;Było mi wstyd;Czułem się dumny;Miałem wrażenie, że wróciłem z podróży;Radość;Złość;Smutek;Obrzydzenie;Zaskoczenie;Strach;Poczułem się ożywiony;Czułem się źle;Trudno mi było wrócić do rzeczywistości;Czułem się winny;Czułem się zwycięsko;Uważam, że to strata czasu;Poczułem się pobudzony;Czułem się usatysfakcjonowany;Poczułem się zdezorientowany;Czułem się wyczerpany;Poczułem, że mogłem zrobić więcej pożytecznych rzeczy;Czułem się potężny;Czułem się zmęczony;Poczułem żal;Było mi wstyd;Czułem się dumny;Miałem wrażenie, że wróciłem z podróży;Radość;Złość;Smutek;Obrzydzenie;Zaskoczenie;Strach;Poczułem się ożywiony;Czułem się źle;Trudno mi było wrócić do rzeczywistości;Czułem się winny;Czułem się zwycięsko;Uważam, że to strata czasu;Poczułem się pobudzony;Czułem się usatysfakcjonowany;Poczułem się zdezorientowany;Czułem się wyczerpany;Poczułem, że mogłem zrobić więcej pożytecznych rzeczy;Czułem się potężny;Czułem się zmęczony;Poczułem żal;Było mi wstyd;Czułem się dumny;Miałem wrażenie, że wróciłem z podróży
Mężczyzna;24;Mniej niż 2h w tygodniu;RPG,FPS,Akcja;Miasto > 500 tyś mieszkańców;1;5;5;2;2;1;Średnio;Mocno;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Ekstremalnie;Lekko;Lekko;Wcale;Lekko;Wcale;Mocno;Wcale;Wcale;1;1;1;7;2;1;Lekko;Wcale;Lekko;Wcale;Wcale;Mocno;Wcale;Wcale;Lekko;Wcale;Średnio;Wcale;Średnio;Wcale;Wcale;Lekko;Wcale;5;1;1;1;1;1;Mocno;Wcale;Wcale;Wcale;Średnio;Wcale;Mocno;Mocno;Wcale;Średnio;Wcale;Średnio;Wcale;Wcale;Wcale;Mocno;Wcale;1;1;1;4;5;6;Mocno;Mocno;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Średnio;Średnio;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;1;3;6;1;3;3;Wcale;Mocno;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Mocno;Wcale;Wcale;Wcale
Mężczyzna;24;2 - 8h w tygodniu;FPS,RTS,MMO;Wieś;1;7;5;2;4;2;Średnio;Mocno;Wcale;Wcale;Wcale;Mocno;Średnio;Wcale;Mocno;Mocno;Mocno;Wcale;Ekstremalnie;Lekko;Lekko;Wcale;Wcale;1;2;5;6;5;6;Wcale;Średnio;Wcale;Lekko;Wcale;Lekko;Lekko;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Średnio;Lekko;Wcale;Wcale;4;3;3;1;2;1;Lekko;Wcale;Wcale;Wcale;Średnio;Wcale;Średnio;Średnio;Wcale;Wcale;Lekko;Lekko;Lekko;Wcale;Wcale;Średnio;Wcale;1;4;5;4;6;6;Lekko;Średnio;Lekko;Średnio;Wcale;Lekko;Średnio;Wcale;Mocno;Średnio;Wcale;Lekko;Średnio;Lekko;Wcale;Wcale;Lekko;2;3;6;1;4;2;Wcale;Lekko;Lekko;Średnio;Wcale;Lekko;Lekko;Wcale;Średnio;Średnio;Wcale;Wcale;Średnio;Mocno;Lekko;Wcale;Lekko
Mężczyzna;24;> 8h w tygodniu;MMO;Miasto 50 - 150 tyś mieszkańców;4;3;1;5;6;1;Średnio;Średnio;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Ekstremalnie;Mocno;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;6;1;1;1;1;1;Mocno;Wcale;Wcale;Wcale;Średnio;Wcale;Średnio;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;7;1;1;1;1;1;Mocno;Wcale;Wcale;Wcale;Mocno;Wcale;Mocno;Mocno;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;7;2;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;1;4;7;1;5;4;Wcale;Ekstremalnie;Ekstremalnie;Ekstremalnie;Wcale;Średnio;Wcale;Wcale;Średnio;Mocno;Wcale;Wcale;Lekko;Ekstremalnie;Ekstremalnie;Wcale;Wcale
Mężczyzna;22;2 - 8h w tygodniu;RPG,FPS,Akcja,Przygoda,Platformowa,Rogue-Like;Miasto 150 - 500 tyś mieszkańców;4;5;1;1;3;1;Mocno;Wcale;Lekko;Wcale;Średnio;Lekko;Mocno;Lekko;Mocno;Lekko;Lekko;Wcale;Lekko;Wcale;Wcale;Średnio;Wcale;1;2;1;5;7;1;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;4;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;3;6;Mocno;Lekko;Lekko;Wcale;Wcale;Wcale;Mocno;Średnio;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;6;1;1;1;Wcale;Średnio;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale
Mężczyzna;22;> 8h w tygodniu;RPG,FPS,Przygoda,Rogue-Like;Miasto 50 - 150 tyś mieszkańców;2;5;1;1;3;1;Wcale;Średnio;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Mocno;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;1;1;1;4;3;1;Wcale;Lekko;Wcale;Wcale;Wcale;Mocno;Lekko;Wcale;Średnio;Lekko;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;3;1;1;1;1;1;Lekko;Wcale;Wcale;Wcale;Wcale;Średnio;Lekko;Wcale;Wcale;Mocno;Wcale;Wcale;Średnio;Wcale;Wcale;Lekko;Wcale;1;1;1;3;5;3;Wcale;Średnio;Wcale;Wcale;Wcale;Ekstremalnie;Średnio;Wcale;Średnio;Mocno;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;1;1;3;1;1;2;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Lekko;Średnio;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale
Kobieta;28;Raczej nie gram w gry komputerowe;Platformowa,Puzzle;Miasto <= 50 tyś mieszkańców;3;6;3;5;6;1;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Średnio;Lekko;Lekko;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;4;1;1;6;3;1;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Średnio;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;5;4;3;1;3;1;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Średnio;Wcale;Wcale;Lekko;Lekko;Wcale;Średnio;Wcale;Wcale;Wcale;1;1;2;1;2;5;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;1;1;4;1;2;1;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale
Mężczyzna;24;2 - 8h w tygodniu;RPG,FPS,MMO;Miasto > 500 tyś mieszkańców;3;7;1;5;6;2;Ekstremalnie;Ekstremalnie;Lekko;Mocno;Wcale;Wcale;Mocno;Lekko;Ekstremalnie;Mocno;Lekko;Wcale;Lekko;Lekko;Lekko;Lekko;Wcale;2;2;2;4;4;2;Lekko;Lekko;Mocno;Lekko;Mocno;Wcale;Mocno;Mocno;Lekko;Wcale;Lekko;Lekko;Lekko;Mocno;Średnio;Mocno;Wcale;6;2;1;1;6;3;Mocno;Wcale;Wcale;Wcale;Mocno;Lekko;Ekstremalnie;Mocno;Wcale;Wcale;Średnio;Lekko;Lekko;Wcale;Lekko;Mocno;Wcale;1;5;5;5;7;7;Ekstremalnie;Mocno;Wcale;Wcale;Mocno;Wcale;Ekstremalnie;Mocno;Ekstremalnie;Lekko;Wcale;Wcale;Mocno;Wcale;Wcale;Średnio;Wcale;2;5;6;2;2;5;Lekko;Mocno;Mocno;Mocno;Wcale;Wcale;Lekko;Wcale;Mocno;Mocno;Wcale;Lekko;Ekstremalnie;Mocno;Średnio;Wcale;Lekko
Kobieta;22;Mniej niż 2h w tygodniu;MMO,Puzzle,Wyścigowe;Miasto > 500 tyś mieszkańców;2;7;2;3;5;1;Mocno;Średnio;Wcale;Wcale;Lekko;Wcale;Mocno;Wcale;Mocno;Wcale;Średnio;Wcale;Lekko;Lekko;Średnio;Wcale;Wcale;1;2;2;7;4;3;Wcale;Mocno;Wcale;Wcale;Wcale;Średnio;Lekko;Wcale;Lekko;Mocno;Lekko;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;6;1;3;1;3;1;Średnio;Wcale;Lekko;Wcale;Mocno;Wcale;Lekko;Mocno;Wcale;Wcale;Lekko;Mocno;Lekko;Wcale;Wcale;Lekko;Wcale;2;1;2;5;6;6;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Średnio;Wcale;Mocno;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;1;7;1;2;1;1;Wcale;Mocno;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Ekstremalnie;Ekstremalnie;Średnio;Wcale;Ekstremalnie;Średnio;Wcale;Wcale;Wcale
Mężczyzna;24;2 - 8h w tygodniu;RPG,MMO;Miasto > 500 tyś mieszkańców;2;5;1;1;2;1;Mocno;Średnio;Wcale;Wcale;Wcale;Lekko;Średnio;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;7;2;1;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;3;2;1;1;6;1;Mocno;Wcale;Wcale;Wcale;Lekko;Wcale;Mocno;Średnio;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale;Średnio;Wcale;1;1;2;2;4;4;Mocno;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;1;1;5;1;1;1;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Lekko;Lekko;Wcale;Wcale;Średnio;Średnio;Wcale;Wcale;Średnio
Mężczyzna;23;Mniej niż 2h w tygodniu;RPG,Przygoda;Miasto 150 - 500 tyś mieszkańców;1;4;1;1;3;1;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Lekko;Wcale;Wcale;Średnio;Lekko;Lekko;Wcale;Wcale;1;1;2;6;5;1;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Średnio;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;3;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Średnio;Lekko;Wcale;Lekko;Wcale;Lekko;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;2;4;4;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;6;1;1;1;Wcale;Mocno;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Średnio
Mężczyzna;24;2 - 8h w tygodniu;RPG,MMO,Przygoda;Miasto > 500 tyś mieszkańców;1;5;1;2;3;1;Wcale;Lekko;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Mocno;Lekko;Wcale;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;1;2;1;5;2;3;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;Lekko;Wcale;Średnio;Lekko;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale;1;2;5;1;1;2;Wcale;Średnio;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Lekko;Średnio;Wcale;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;1;3;1;4;3;5;Lekko;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale;1;6;1;4;4;1;Wcale;Lekko;Wcale;Wcale;Lekko;Ekstremalnie;Wcale;Lekko;Średnio;Średnio;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale
Kobieta;23;2 - 8h w tygodniu;RPG,Akcja,Przygoda,Wyścigowe;Miasto > 500 tyś mieszkańców;2;7;2;2;6;3;Średnio;Mocno;Lekko;Mocno;Wcale;Mocno;Mocno;Wcale;Ekstremalnie;Mocno;Mocno;Wcale;Mocno;Mocno;Wcale;Wcale;Lekko;1;3;1;7;4;5;Mocno;Ekstremalnie;Wcale;Lekko;Wcale;Lekko;Mocno;Wcale;Mocno;Średnio;Mocno;Wcale;Średnio;Lekko;Średnio;Wcale;Wcale;6;1;1;1;6;1;Mocno;Wcale;Lekko;Wcale;Mocno;Średnio;Ekstremalnie;Mocno;Lekko;Wcale;Lekko;Mocno;Wcale;Wcale;Wcale;Mocno;Wcale;1;2;2;3;7;7;Ekstremalnie;Mocno;Lekko;Średnio;Wcale;Wcale;Ekstremalnie;Wcale;Ekstremalnie;Lekko;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Lekko;1;3;6;1;3;2;Wcale;Średnio;Lekko;Średnio;Wcale;Średnio;Lekko;Wcale;Średnio;Wcale;Średnio;Wcale;Lekko;Średnio;Wcale;Lekko;Lekko
