Metryka;;;;;Złość - emocje;;;;;;Złość - GEQ;;;;;;;;;;;;;;;;;Obrzydzenie - emocje;;;;;;Obrzydzenie - GEQ;;;;;;;;;;;;;;;;;Neutralna - emocje;;;;;;Neutralna - GEQ;;;;;;;;;;;;;;;;;Strach - emocje;;;;;;Strach - GEQ;;;;;;;;;;;;;;;;;Smutek - emocje;;;;;;Smutek - GEQ;;;;;;;;;;;;;;;;
Mężczyzna;23;Raczej nie gram w gry komputerowe;Wyścigowe;Miasto > 500 tyś mieszkańców;1;3;1;1;5;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;6;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;3;1;1;1;4;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;2;2;5;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;4;1;1;1;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale
Mężczyzna;31;2 - 8h w tygodniu;RPG,FPS,Akcja,Przygoda;Miasto > 500 tyś mieszkańców;1;4;1;1;5;1;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;1;1;1;2;1;1;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;5;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Mocno;Wcale;Średnio;Mocno;Wcale;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;1;1;1;1;3;3;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;1;1;5;1;1;3;Wcale;Średnio;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Lekko;Średnio;Średnio;Wcale;Wcale
Kobieta;43;Mniej niż 2h w tygodniu;Akcja,Przygoda;Miasto > 500 tyś mieszkańców;1;2;2;3;5;1;Lekko;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Lekko;Lekko;Lekko;Wcale;Wcale;1;2;1;6;4;1;Wcale;Lekko;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;Lekko;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;4;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Lekko;Lekko;Lekko;Średnio;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;1;1;2;1;2;4;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Średnio;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;1;1;7;1;1;2;Średnio;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Lekko;Wcale;Wcale;Mocno;Wcale;Wcale;Lekko
Mężczyzna;24;Mniej niż 2h w tygodniu;RPG,MMO;Miasto 50 - 150 tyś mieszkańców;1;2;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;3;1;1;1;1;Wcale;Lekko;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale
Mężczyzna;28;Mniej niż 2h w tygodniu;Platformowa;Miasto > 500 tyś mieszkańców;2;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Wcale;Mocno;Lekko;Lekko;Lekko;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;6;6;2;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;4;6;Wcale;Średnio;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;2;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale
Kobieta;25;2 - 8h w tygodniu;RPG,Przygoda,Platformowa;Miasto > 500 tyś mieszkańców;2;6;1;2;5;2;Lekko;Średnio;Wcale;Lekko;Wcale;Średnio;Lekko;Wcale;Mocno;Średnio;Lekko;Wcale;Średnio;Lekko;Średnio;Wcale;Wcale;1;1;1;4;1;1;Wcale;Średnio;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Lekko;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Lekko;Lekko;Lekko;Wcale;Średnio;Wcale;Lekko;Wcale;Wcale;1;1;1;2;2;2;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;1;1;2;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale
Kobieta;26;Raczej nie gram w gry komputerowe;Wyścigowe,Sportowe;Miasto > 500 tyś mieszkańców;1;1;1;1;2;1;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Mocno;Wcale;Ekstremalnie;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale;Wcale;1;1;1;1;2;1;Wcale;Lekko;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;4;1;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko
Mężczyzna;27;Raczej nie gram w gry komputerowe;RPG,FPS,MMO,Akcja,Przygoda,Wyścigowe;Miasto > 500 tyś mieszkańców;4;2;5;3;2;4;Średnio;Średnio;Średnio;Mocno;Średnio;Wcale;Lekko;Średnio;Wcale;Mocno;Wcale;Lekko;Średnio;Wcale;Lekko;Średnio;Średnio;1;1;2;2;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Mocno;Ekstremalnie;Wcale;Ekstremalnie;Lekko;Wcale;Wcale;Mocno;3;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Lekko;Ekstremalnie;Średnio;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;1;3;6;5;6;7;Wcale;Ekstremalnie;Lekko;Mocno;Wcale;Lekko;Mocno;Wcale;Mocno;Mocno;Mocno;Wcale;Mocno;Wcale;Wcale;Wcale;Lekko;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko
Mężczyzna;30;Raczej nie gram w gry komputerowe;RPG,MMO,Przygoda;Wieś;7;7;1;1;7;1;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;1;1;1;7;4;1;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;7;1;1;1;3;1;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Ekstremalnie;Ekstremalnie;Wcale;Lekko;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;2;1;1;2;3;3;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;3;1;7;1;1;1;Mocno;Wcale;Wcale;Lekko;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale
Mężczyzna;27;2 - 8h w tygodniu;RPG,FPS,Wyścigowe;Miasto > 500 tyś mieszkańców;2;5;1;1;4;2;Wcale;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;1;1;1;4;4;1;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;3;3;1;1;1;1;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;2;1;4;4;6;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;3;1;3;3;Wcale;Średnio;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Lekko;Lekko;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale
Kobieta;24;Raczej nie gram w gry komputerowe;Przygoda;Miasto > 500 tyś mieszkańców;1;7;1;1;5;1;Wcale;Średnio;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Ekstremalnie;Ekstremalnie;Ekstremalnie;Wcale;Ekstremalnie;Mocno;Wcale;Wcale;Wcale;4;1;1;1;4;1;Mocno;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;2;5;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Średnio;Ekstremalnie;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;1;7;1;1;7;1;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Ekstremalnie;Ekstremalnie;Ekstremalnie;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;1;1;1;1;1;1;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale
Kobieta;27;Mniej niż 2h w tygodniu;RPG,Platformowa,Wyścigowe;Miasto > 500 tyś mieszkańców;1;4;1;1;6;1;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Lekko;Wcale;Ekstremalnie;Średnio;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;1;2;1;6;7;1;Wcale;Średnio;Lekko;Wcale;Wcale;Mocno;Wcale;Wcale;Średnio;Lekko;Wcale;Wcale;Średnio;Wcale;Lekko;Wcale;Wcale;4;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Lekko;Wcale;Średnio;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;1;1;1;1;3;2;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;3;1;1;1;Wcale;Lekko;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Średnio;Wcale;Średnio;Lekko;Wcale;Wcale;Wcale
Mężczyzna;24;Mniej niż 2h w tygodniu;RPG,RTS,Przygoda,Platformowa;Miasto 150 - 500 tyś mieszkańców;2;7;2;1;3;1;Mocno;Wcale;Wcale;Wcale;Lekko;Wcale;Mocno;Lekko;Mocno;Średnio;Wcale;Wcale;Średnio;Wcale;Wcale;Lekko;Wcale;1;1;3;7;5;1;Mocno;Mocno;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Średnio;Wcale;Wcale;Wcale;4;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Średnio;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;1;1;1;1;5;7;Mocno;Lekko;Lekko;Wcale;Lekko;Lekko;Ekstremalnie;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;3;7;1;2;1;Wcale;Średnio;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Lekko
Mężczyzna;22;> 8h w tygodniu;RPG,FPS,Akcja;Miasto > 500 tyś mieszkańców;2;6;1;1;3;1;Mocno;Wcale;Wcale;Wcale;Wcale;Lekko;Mocno;Wcale;Średnio;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;1;1;1;6;3;1;Średnio;Średnio;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;2;1;1;1;1;1;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Lekko;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;4;6;Mocno;Średnio;Wcale;Wcale;Wcale;Wcale;Średnio;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;1;1;6;1;1;1;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale
Kobieta;22;Raczej nie gram w gry komputerowe;Platformowa,Puzzle;Miasto > 500 tyś mieszkańców;1;7;1;1;1;1;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Lekko;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;7;3;1;Średnio;Mocno;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;4;1;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Mocno;Wcale;Lekko;Mocno;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;4;7;Mocno;Lekko;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;7;1;1;1;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Średnio;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale
Mężczyzna;20;2 - 8h w tygodniu;RPG,MMO,Przygoda,Rogue-Like;Miasto > 500 tyś mieszkańców;2;6;1;1;2;1;Mocno;Wcale;Wcale;Wcale;Lekko;Wcale;Ekstremalnie;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;7;2;1;Średnio;Średnio;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;3;1;1;1;1;1;Lekko;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;2;1;1;1;3;5;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;2;6;1;1;1;Średnio;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Średnio
Mężczyzna;26;Raczej nie gram w gry komputerowe;RTS,MMO,Puzzle;Miasto 150 - 500 tyś mieszkańców;1;6;1;1;1;1;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;7;2;1;Średnio;Lekko;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;2;1;1;1;1;1;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;1;2;5;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Lekko;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;4;1;1;1;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Lekko;Wcale;Wcale;Wcale
Kobieta;23;Mniej niż 2h w tygodniu;RPG,Akcja,Przygoda;Miasto > 500 tyś mieszkańców;2;7;1;1;1;1;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Lekko;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;1;7;4;1;Ekstremalnie;Mocno;Wcale;Wcale;Wcale;Wcale;Ekstremalnie;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;4;1;1;1;1;1;Mocno;Wcale;Wcale;Wcale;Mocno;Wcale;Mocno;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Średnio;Wcale;1;1;1;1;3;6;Mocno;Lekko;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Lekko;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;1;1;7;1;1;1;Wcale;Lekko;Średnio;Wcale;Wcale;Wcale;Średnio;Wcale;Wcale;Wcale;Wcale;Wcale;Wcale;Mocno;Wcale;Wcale;Wcale
